State,Date,Annual Rainfall mm,Season Length Days,Region,Latitude,Longitude
Abia,2011,2136.5,253.5,South east,5.45409529947607,7.5153071
Abia,2012,2161.5,250.5,South east,5.45409529947607,7.5153071
Abia,2013,2258.5,274.5,South east,5.45409529947607,7.5153071
Abia,2014,2263.4,273.3,South east,5.45409529947607,7.5153071
Abia,2015,2093.875,267.875,South east,5.45409529947607,7.5153071
Abia,2016,2185.6666666666665,270.6666666666667,South east,5.45409529947607,7.5153071
Abia,2017,2344.1935483870966,269.19354838709677,South east,5.45409529947607,7.5153071
Abia,2018,2439.0,270.8521739130435,South east,5.45409529947607,7.5153071
Abia,2019,2176.0588235294117,273.52941176470586,South east,5.45409529947607,7.5153071
Abia,2020,2127.294117647059,276.7647058823529,South east,5.45409529947607,7.5153071
Akwa Ibom,2011,1974.3333333333333,237.0,South south,4.940863799511036,7.8412267
Akwa Ibom,2012,2283.0,253.33333333333334,South south,4.940863799511036,7.8412267
Akwa Ibom,2013,2479.0,280.0,South south,4.940863799511036,7.8412267
Akwa Ibom,2014,2557.125,286.625,South south,4.940863799511036,7.8412267
Akwa Ibom,2015,2421.0,283.6666666666667,South south,4.940863799511036,7.8412267
Akwa Ibom,2016,2509.153846153846,284.53846153846155,South south,4.940863799511036,7.8412267
Akwa Ibom,2017,2683.0,281.7142857142857,South south,4.940863799511036,7.8412267
Akwa Ibom,2018,2487.0,181.6086956521739,South south,4.940863799511036,7.8412267
Akwa Ibom,2019,2440.0,283.96774193548384,South south,4.940863799511036,7.8412267
Akwa Ibom,2020,2319.6129032258063,286.83870967741933,South south,4.940863799511036,7.8412267
Ekiti,2011,2199.0,256.0,South west,7.736890999391845,5.2738326
Ekiti,2012,2226.3333333333335,253.0,South west,7.736890999391845,5.2738326
Ekiti,2013,2329.6666666666665,277.6666666666667,South west,7.736890999391845,5.2738326
Ekiti,2014,1481.9,232.2,South west,7.736890999391845,5.2738326
Ekiti,2015,1394.375,225.5,South west,7.736890999391845,5.2738326
Ekiti,2016,1390.4375,225.9375,South west,7.736890999391845,5.2738326
Ekiti,2017,1474.875,223.0625,South west,7.736890999391845,5.2738326
Ekiti,2018,1409.0,251.85294117647058,South west,7.736890999391845,5.2738326
Ekiti,2019,1288.375,223.6875,South west,7.736890999391845,5.2738326
Ekiti,2020,1370.25,224.9375,South west,7.736890999391845,5.2738326
Oyo,2011,1106.6666666666667,221.0,South west,8.215124899390593,3.5642897
Oyo,2012,1130.3333333333333,234.0,South west,8.215124899390593,3.5642897
Oyo,2013,1237.6666666666667,236.0,South west,8.215124899390593,3.5642897
Oyo,2014,1258.875,229.625,South west,8.215124899390593,3.5642897
Oyo,2015,1258.75,217.3125,South west,8.215124899390593,3.5642897
Oyo,2016,1252.8823529411766,217.94117647058823,South west,8.215124899390593,3.5642897
Oyo,2017,1323.076923076923,216.34615384615384,South west,8.215124899390593,3.5642897
Oyo,2018,1328.0,229.6171875,South west,8.215124899390593,3.5642897
Oyo,2019,1246.7575757575758,235.87878787878788,South west,8.215124899390593,3.5642897
Oyo,2020,1337.030303030303,222.87878787878788,South west,8.215124899390593,3.5642897
Edo,2011,1890.0,242.0,South south,6.607657499417959,5.9722713
Edo,2012,1743.0,230.5,South south,6.607657499417959,5.9722713
Edo,2013,2038.5,262.5,South south,6.607657499417959,5.9722713
Edo,2014,1865.0,254.71428571428572,South south,6.607657499417959,5.9722713
Edo,2015,1710.3333333333333,246.33333333333334,South south,6.607657499417959,5.9722713
Edo,2016,1713.3846153846155,246.15384615384616,South south,6.607657499417959,5.9722713
Edo,2017,1817.8461538461538,244.76923076923077,South south,6.607657499417959,5.9722713
Edo,2019,1822.2777777777778,254.72222222222223,South south,6.607657499417959,5.9722713
Edo,2020,1654.9444444444443,250.38888888888889,South south,6.607657499417959,5.9722713
Sokoto,2011,1726.0,218.66666666666666,North west,13.061119499685718,5.3152203
Sokoto,2012,599.0,114.66666666666667,North west,13.061119499685718,5.3152203
Sokoto,2013,684.0,123.33333333333333,North west,13.061119499685718,5.3152203
Sokoto,2014,748.0,129.44444444444446,North west,13.061119499685718,5.3152203
Sokoto,2015,741.9285714285714,114.57142857142857,North west,13.061119499685718,5.3152203
Sokoto,2016,774.2857142857143,115.14285714285714,North west,13.061119499685718,5.3152203
Sokoto,2017,791.0,118.14285714285714,North west,13.061119499685718,5.3152203
Sokoto,2018,626.0,283.12068965517244,North west,13.061119499685718,5.3152203
Sokoto,2019,414.39130434782606,109.47826086956522,North west,13.061119499685718,5.3152203
Sokoto,2020,632.5652173913044,112.52173913043478,North west,13.061119499685718,5.3152203
Anambra,2011,1654.3333333333333,227.0,South east,6.218313599434199,6.9531842
Anambra,2012,1902.6666666666667,233.33333333333334,South east,6.218313599434199,6.9531842
Anambra,2013,1753.0,245.0,South east,6.218313599434199,6.9531842
Anambra,2014,1982.090909090909,258.3636363636364,South east,6.218313599434199,6.9531842
Anambra,2015,1856.9375,252.4375,South east,6.218313599434199,6.9531842
Anambra,2016,1898.2941176470588,253.76470588235293,South east,6.218313599434199,6.9531842
Anambra,2017,2025.5882352941176,252.94117647058823,South east,6.218313599434199,6.9531842
Anambra,2018,1935.0,282.59322033898303,South east,6.218313599434199,6.9531842
Anambra,2019,1872.4285714285713,257.3333333333333,South east,6.218313599434199,6.9531842
Anambra,2020,1851.1904761904761,258.57142857142856,South east,6.218313599434199,6.9531842
Ebonyi,2011,1243.5,209.0,South east,6.199691799435065,8.0348906
Ebonyi,2012,1228.0,203.5,South east,6.199691799435065,8.0348906
Ebonyi,2013,1254.0,221.5,South east,6.199691799435065,8.0348906
Ebonyi,2014,1806.375,250.0,South east,6.199691799435065,8.0348906
Ebonyi,2015,1832.0,253.25,South east,6.199691799435065,8.0348906
Ebonyi,2016,1887.6,255.5,South east,6.199691799435065,8.0348906
Ebonyi,2017,2017.1,253.7,South east,6.199691799435065,8.0348906
Ebonyi,2018,1963.0,266.7894736842105,South east,6.199691799435065,8.0348906
Ebonyi,2019,1854.7692307692307,256.46153846153845,South east,6.199691799435065,8.0348906
Ebonyi,2020,1843.6153846153845,262.0,South east,6.199691799435065,8.0348906
Niger,2011,1388.3333333333333,207.33333333333334,North central,9.932608299434758,5.651108799999999
Niger,2012,931.3333333333334,175.0,North central,9.932608299434758,5.651108799999999
Niger,2013,1017.0,188.0,North central,9.932608299434758,5.651108799999999
Niger,2014,989.0,187.1818181818182,North central,9.932608299434758,5.651108799999999
Niger,2015,963.25,178.25,North central,9.932608299434758,5.651108799999999
Niger,2016,953.5,179.61111111111111,North central,9.932608299434758,5.651108799999999
Niger,2017,993.4444444444445,180.44444444444446,North central,9.932608299434758,5.651108799999999
Niger,2018,1196.0,206.6875,North central,9.932608299434758,5.651108799999999
Niger,2019,777.08,181.6,North central,9.932608299434758,5.651108799999999
Niger,2020,995.44,183.76,North central,9.932608299434758,5.651108799999999
Taraba,2011,859.3333333333334,179.0,North east,8.0141333993904,10.7376336
Taraba,2012,1253.6666666666667,198.33333333333334,North east,8.0141333993904,10.7376336
Taraba,2013,882.3333333333334,180.33333333333334,North east,8.0141333993904,10.7376336
Taraba,2014,1166.5454545454545,203.0909090909091,North east,8.0141333993904,10.7376336
Taraba,2015,1235.5,210.33333333333334,North east,8.0141333993904,10.7376336
Taraba,2016,1226.7222222222222,210.77777777777777,North east,8.0141333993904,10.7376336
Taraba,2017,1286.2631578947369,209.94736842105263,North east,8.0141333993904,10.7376336
Taraba,2018,1411.0,118.02830188679245,North east,8.0141333993904,10.7376336
Taraba,2019,1173.5625,214.5,North east,8.0141333993904,10.7376336
Taraba,2020,1284.9375,214.375,North east,8.0141333993904,10.7376336
Delta,2011,2122.3333333333335,245.66666666666666,South south,5.527306099471514,6.178416699999999
Delta,2012,2150.6666666666665,241.66666666666666,South south,5.527306099471514,6.178416699999999
Delta,2013,2250.6666666666665,269.6666666666667,South south,5.527306099471514,6.178416699999999
Delta,2014,2195.25,270.75,South south,5.527306099471514,6.178416699999999
Delta,2015,2079.222222222222,267.0,South south,5.527306099471514,6.178416699999999
Delta,2016,2037.1666666666667,262.72222222222223,South south,5.527306099471514,6.178416699999999
Delta,2017,2175.222222222222,261.6111111111111,South south,5.527306099471514,6.178416699999999
Delta,2018,1871.0,254.83695652173913,South south,5.527306099471514,6.178416699999999
Delta,2019,2320.0,275.88461538461536,South south,5.527306099471514,6.178416699999999
Delta,2020,2084.1923076923076,267.8076923076923,South south,5.527306099471514,6.178416699999999
Rivers,2011,1653.6666666666667,235.0,South south,4.841602799518385,6.8604088
Rivers,2012,2387.0,263.3333333333333,South south,4.841602799518385,6.8604088
Rivers,2013,2590.0,289.3333333333333,South south,4.841602799518385,6.8604088
Rivers,2014,2548.6363636363635,286.54545454545456,South south,4.841602799518385,6.8604088
Rivers,2015,2373.1875,283.0,South south,4.841602799518385,6.8604088
Rivers,2016,2444.1875,283.75,South south,4.841602799518385,6.8604088
Rivers,2017,2615.4444444444443,281.1666666666667,South south,4.841602799518385,6.8604088
Rivers,2018,2251.0,190.91836734693877,South south,4.841602799518385,6.8604088
Rivers,2019,2480.478260869565,285.69565217391306,South south,4.841602799518385,6.8604088
Rivers,2020,2312.0,288.1304347826087,South south,4.841602799518385,6.8604088
Bauchi,2011,815.3333333333334,167.0,North east,10.622828399473097,10.0287754
Bauchi,2012,762.6666666666666,152.33333333333334,North east,10.622828399473097,10.0287754
Bauchi,2013,836.3333333333334,161.33333333333334,North east,10.622828399473097,10.0287754
Bauchi,2014,844.3,166.6,North east,10.622828399473097,10.0287754
Bauchi,2015,828.4375,154.75,North east,10.622828399473097,10.0287754
Bauchi,2016,823.0625,155.25,North east,10.622828399473097,10.0287754
Bauchi,2017,851.3125,156.4375,North east,10.622828399473097,10.0287754
Bauchi,2018,1111.0,253.97321428571428,North east,10.622828399473097,10.0287754
Bauchi,2019,564.0,153.6,North east,10.622828399473097,10.0287754
Bauchi,2020,779.8,148.95,North east,10.622828399473097,10.0287754
Cross River,2011,2112.0,225.33333333333334,South south,5.867196599451846,8.5204774
Cross River,2012,2176.0,222.33333333333334,South south,5.867196599451846,8.5204774
Cross River,2013,2423.3333333333335,247.33333333333334,South south,5.867196599451846,8.5204774
Cross River,2014,2181.375,263.25,South south,5.867196599451846,8.5204774
Cross River,2015,2059.4615384615386,257.9230769230769,South south,5.867196599451846,8.5204774
Cross River,2016,2098.153846153846,258.38461538461536,South south,5.867196599451846,8.5204774
Cross River,2017,2214.3846153846152,257.15384615384613,South south,5.867196599451846,8.5204774
Cross River,2018,2599.0,137.12295081967213,South south,5.867196599451846,8.5204774
Cross River,2019,2217.3333333333335,243.11111111111111,South south,5.867196599451846,8.5204774
Cross River,2020,2046.4444444444443,267.94444444444446,South south,5.867196599451846,8.5204774
Ondo,2011,1577.3333333333333,245.66666666666666,South west,7.020968599404704,5.0567477
Ondo,2012,1385.0,224.0,South west,7.020968599404704,5.0567477
Ondo,2013,1520.0,251.0,South west,7.020968599404704,5.0567477
Ondo,2014,1666.4,248.6,South west,7.020968599404704,5.0567477
Ondo,2015,1566.6,239.53333333333333,South west,7.020968599404704,5.0567477
Ondo,2016,1579.4666666666667,240.53333333333333,South west,7.020968599404704,5.0567477
Ondo,2017,1653.7222222222222,238.22222222222223,South west,7.020968599404704,5.0567477
Ondo,2018,1383.0,243.20754716981133,South west,7.020968599404704,5.0567477
Ondo,2019,1606.7777777777778,254.16666666666666,South west,7.020968599404704,5.0567477
Ondo,2020,1535.888888888889,239.77777777777777,South west,7.020968599404704,5.0567477
Borno,2011,635.0,125.33333333333333,North east,12.18753919959776,13.3080034
Borno,2012,602.0,124.66666666666667,North east,12.18753919959776,13.3080034
Borno,2013,689.3333333333334,132.66666666666666,North east,12.18753919959776,13.3080034
Borno,2014,735.2,131.2,North east,12.18753919959776,13.3080034
Borno,2015,769.9333333333333,144.46666666666667,North east,12.18753919959776,13.3080034
Borno,2016,768.5,143.5625,North east,12.18753919959776,13.3080034
Borno,2017,792.0625,144.6875,North east,12.18753919959776,13.3080034
Borno,2018,562.0,229.11570247933884,North east,12.18753919959776,13.3080034
Borno,2019,492.2857142857143,137.64285714285714,North east,12.18753919959776,13.3080034
Borno,2020,696.75,129.85714285714286,North east,12.18753919959776,13.3080034
Osun,2011,1943.3333333333333,254.0,South west,7.548404699393967,4.497830700000001
Osun,2012,1262.3333333333333,214.0,South west,7.548404699393967,4.497830700000001
Osun,2013,1319.6666666666667,231.66666666666666,South west,7.548404699393967,4.497830700000001
Osun,2014,1450.2727272727273,233.9090909090909,South west,7.548404699393967,4.497830700000001
Osun,2015,1372.1875,222.4375,South west,7.548404699393967,4.497830700000001
Osun,2016,1367.9375,223.4375,South west,7.548404699393967,4.497830700000001
Osun,2017,1445.75,223.625,South west,7.548404699393967,4.497830700000001
Osun,2018,1309.0,242.9902912621359,South west,7.548404699393967,4.497830700000001
Osun,2019,1340.9333333333334,240.2,South west,7.548404699393967,4.497830700000001
Osun,2020,1399.6,226.7,South west,7.548404699393967,4.497830700000001
Plateau,2011,1059.3333333333333,190.66666666666666,North central,9.058344599402847,9.6826289
Plateau,2012,984.3333333333334,183.0,North central,9.058344599402847,9.6826289
Plateau,2013,1057.3333333333333,197.33333333333334,North central,9.058344599402847,9.6826289
Plateau,2014,1078.4,198.1,North central,9.058344599402847,9.6826289
Plateau,2015,1057.3333333333333,190.86666666666667,North central,9.058344599402847,9.6826289
Plateau,2016,1040.8,191.4,North central,9.058344599402847,9.6826289
Plateau,2017,1082.6,191.53333333333333,North central,9.058344599402847,9.6826289
Plateau,2018,1268.0,224.33802816901408,North central,9.058344599402847,9.6826289
Plateau,2019,843.2941176470588,188.94117647058823,North central,9.058344599402847,9.6826289
Plateau,2020,1037.1764705882354,188.05882352941177,North central,9.058344599402847,9.6826289
Bayelsa,2011,1763.0,237.33333333333334,South south,4.762978599524332,6.028898
Bayelsa,2012,2495.0,263.0,South south,4.762978599524332,6.028898
Bayelsa,2013,2623.6666666666665,289.0,South south,4.762978599524332,6.028898
Bayelsa,2014,2615.25,288.5,South south,4.762978599524332,6.028898
Bayelsa,2015,2427.7,284.9,South south,4.762978599524332,6.028898
Bayelsa,2016,2509.2,285.7,South south,4.762978599524332,6.028898
Bayelsa,2017,2695.1,283.1,South south,4.762978599524332,6.028898
Bayelsa,2018,2625.0,155.34579439252337,South south,4.762978599524332,6.028898
Bayelsa,2019,2476.25,285.375,South south,4.762978599524332,6.028898
Bayelsa,2020,2249.5,285.25,South south,4.762978599524332,6.028898
Benue,2011,1153.3333333333333,202.66666666666666,North central,7.35057469939717,8.777287699999999
Benue,2012,1371.6666666666667,212.66666666666666,North central,7.35057469939717,8.777287699999999
Benue,2013,1135.3333333333333,210.33333333333334,North central,7.35057469939717,8.777287699999999
Benue,2014,1494.5454545454545,232.54545454545453,North central,7.35057469939717,8.777287699999999
Benue,2015,1468.2380952380952,229.28571428571428,North central,7.35057469939717,8.777287699999999
Benue,2016,1443.5882352941176,228.11764705882354,North central,7.35057469939717,8.777287699999999
Benue,2017,1529.1176470588234,227.35294117647058,North central,7.35057469939717,8.777287699999999
Benue,2018,1210.0,282.1904761904762,North central,7.35057469939717,8.777287699999999
Benue,2019,1425.5652173913043,232.2173913043478,North central,7.35057469939717,8.777287699999999
Benue,2020,1510.2173913043478,234.30434782608697,North central,7.35057469939717,8.777287699999999
Ogun,2011,1796.0,249.0,South west,6.978858199405861,3.4389293
Ogun,2012,1336.6666666666667,227.33333333333334,South west,6.978858199405861,3.4389293
Ogun,2013,1570.3333333333333,244.66666666666666,South west,6.978858199405861,3.4389293
Ogun,2014,1648.3333333333333,249.11111111111111,South west,6.978858199405861,3.4389293
Ogun,2015,1627.875,241.4375,South west,6.978858199405861,3.4389293
Ogun,2016,1624.25,241.1875,South west,6.978858199405861,3.4389293
Ogun,2017,1718.25,241.0,South west,6.978858199405861,3.4389293
Ogun,2018,1626.0,182.2704918032787,South west,6.978858199405861,3.4389293
Ogun,2019,1344.75,246.3,South west,6.978858199405861,3.4389293
Ogun,2020,1550.4,243.55,South west,6.978858199405861,3.4389293
Kwara,2011,1712.3333333333333,235.66666666666666,North central,8.836789099397848,4.668848699999999
Kwara,2012,1087.3333333333333,199.66666666666666,North central,8.836789099397848,4.668848699999999
Kwara,2013,1132.6666666666667,213.0,North central,8.836789099397848,4.668848699999999
Kwara,2014,1493.3,227.9,North central,8.836789099397848,4.668848699999999
Kwara,2015,1168.5555555555557,205.22222222222223,North central,8.836789099397848,4.668848699999999
Kwara,2016,1158.5,205.83333333333334,North central,8.836789099397848,4.668848699999999
Kwara,2017,1224.3809523809523,205.52380952380952,North central,8.836789099397848,4.668848699999999
Kwara,2018,1287.0,226.18333333333334,North central,8.836789099397848,4.668848699999999
Kwara,2019,1177.8,214.55,North central,8.836789099397848,4.668848699999999
Kwara,2020,1168.0625,200.6875,North central,8.836789099397848,4.668848699999999
Lagos,2011,2195.3333333333335,270.0,South west,6.526903299421034,3.5774005
Lagos,2012,1559.6666666666667,232.0,South west,6.526903299421034,3.5774005
Lagos,2013,1746.3333333333333,259.3333333333333,South west,6.526903299421034,3.5774005
Lagos,2014,1838.857142857143,255.14285714285714,South west,6.526903299421034,3.5774005
Lagos,2015,1716.7058823529412,248.8235294117647,South west,6.526903299421034,3.5774005
Lagos,2016,1733.3684210526317,249.21052631578948,South west,6.526903299421034,3.5774005
Lagos,2017,1839.9473684210527,248.6315789473684,South west,6.526903299421034,3.5774005
Lagos,2018,1520.0,209.29464285714286,South west,6.526903299421034,3.5774005
Lagos,2019,1709.6875,248.8125,South west,6.526903299421034,3.5774005
Lagos,2020,1696.7,250.7,South west,6.526903299421034,3.5774005
Zamfara,2011,1618.6666666666667,215.0,North west,12.007899799581104,6.4191432
Zamfara,2012,682.3333333333334,136.33333333333334,North west,12.007899799581104,6.4191432
Zamfara,2013,740.3333333333334,143.0,North west,12.007899799581104,6.4191432
Zamfara,2014,773.4,144.5,North west,12.007899799581104,6.4191432
Zamfara,2015,755.6,128.13333333333333,North west,12.007899799581104,6.4191432
Zamfara,2016,770.7333333333333,128.46666666666667,North west,12.007899799581104,6.4191432
Zamfara,2017,791.5333333333333,131.73333333333332,North west,12.007899799581104,6.4191432
Zamfara,2018,891.0,124.67857142857143,North west,12.007899799581104,6.4191432
Zamfara,2019,434.7142857142857,125.71428571428571,North west,12.007899799581104,6.4191432
Zamfara,2020,707.2857142857143,131.14285714285714,North west,12.007899799581104,6.4191432
Katsina,2011,1102.75,193.0,North west,12.563082499634245,7.6207063
Katsina,2012,587.75,130.0,North west,12.563082499634245,7.6207063
Katsina,2013,642.75,137.75,North west,12.563082499634245,7.6207063
Katsina,2014,732.3636363636364,134.1818181818182,North west,12.563082499634245,7.6207063
Katsina,2015,732.9375,122.625,North west,12.563082499634245,7.6207063
Katsina,2016,753.125,122.6875,North west,12.563082499634245,7.6207063
Katsina,2017,778.5135135135135,125.16216216216216,North west,12.563082499634245,7.6207063
Katsina,2018,559.0,137.44230769230768,North west,12.563082499634245,7.6207063
Katsina,2019,434.54545454545456,123.12121212121212,North west,12.563082499634245,7.6207063
Katsina,2020,673.5,123.70588235294117,North west,12.563082499634245,7.6207063
Enugu,2011,1496.0,222.33333333333334,South east,6.553609399419997,7.4143061
Enugu,2012,1706.6666666666667,226.0,South east,6.553609399419997,7.4143061
Enugu,2013,1564.0,232.0,South east,6.553609399419997,7.4143061
Enugu,2014,1786.375,249.125,South east,6.553609399419997,7.4143061
Enugu,2015,1722.4444444444443,245.61111111111111,South east,6.553609399419997,7.4143061
Enugu,2016,1744.1666666666667,246.16666666666666,South east,6.553609399419997,7.4143061
Enugu,2017,1857.888888888889,245.0,South east,6.553609399419997,7.4143061
Enugu,2018,1834.0,249.22988505747125,South east,6.553609399419997,7.4143061
Enugu,2019,1743.8235294117646,226.41176470588235,South east,6.553609399419997,7.4143061
Enugu,2020,1696.5294117647059,244.88235294117646,South east,6.553609399419997,7.4143061
Kogi,2011,1540.3333333333333,224.0,North central,7.79496019939138,6.686866899999999
Kogi,2012,1295.0,210.33333333333334,North central,7.79496019939138,6.686866899999999
Kogi,2013,1363.3333333333333,227.0,North central,7.79496019939138,6.686866899999999
Kogi,2014,1579.4,238.1,North central,7.79496019939138,6.686866899999999
Kogi,2015,1416.0,225.57894736842104,North central,7.79496019939138,6.686866899999999
Kogi,2016,1411.35,225.8,North central,7.79496019939138,6.686866899999999
Kogi,2017,1495.65,225.0,North central,7.79496019939138,6.686866899999999
Kogi,2018,1229.0,142.78571428571428,North central,7.79496019939138,6.686866899999999
Kogi,2019,1315.904761904762,225.1904761904762,North central,7.79496019939138,6.686866899999999
Kogi,2020,1387.7619047619048,226.0,North central,7.79496019939138,6.686866899999999
Adamawa,2011,856.5,174.0,North east,9.512977199417053,12.3881887
Adamawa,2012,819.5,169.75,North east,9.512977199417053,12.3881887
Adamawa,2013,866.25,180.5,North east,9.512977199417053,12.3881887
Adamawa,2014,983.0909090909091,188.9090909090909,North east,9.512977199417053,12.3881887
Adamawa,2015,965.5,179.8125,North east,9.512977199417053,12.3881887
Adamawa,2016,948.5625,179.9375,North east,9.512977199417053,12.3881887
Adamawa,2017,988.75,181.25,North east,9.512977199417053,12.3881887
Adamawa,2018,858.0,200.5,North east,9.512977199417053,12.3881887
Adamawa,2019,805.0,184.0909090909091,North east,9.512977199417053,12.3881887
Adamawa,2020,986.9545454545455,182.0,North east,9.512977199417053,12.3881887
Kaduna,2011,1074.6666666666667,180.66666666666666,North west,10.382531799458487,7.853322600000001
Kaduna,2012,940.0,167.33333333333334,North west,10.382531799458487,7.853322600000001
Kaduna,2013,1038.3333333333333,173.66666666666666,North west,10.382531799458487,7.853322600000001
Kaduna,2014,948.0,184.06666666666666,North west,10.382531799458487,7.853322600000001
Kaduna,2015,902.125,165.875,North west,10.382531799458487,7.853322600000001
Kaduna,2016,969.2777777777778,168.66666666666666,North west,10.382531799458487,7.853322600000001
Kaduna,2017,925.5294117647059,165.52941176470588,North west,10.382531799458487,7.853322600000001
Kaduna,2018,1309.0,129.67460317460316,North west,10.382531799458487,7.853322600000001
Kaduna,2019,646.0869565217391,166.17391304347825,North west,10.382531799458487,7.853322600000001
Kaduna,2020,921.7391304347826,167.69565217391303,North west,10.382531799458487,7.853322600000001
Kano,2011,954.0,173.66666666666666,North west,11.894838899570903,8.5364136
Kano,2012,692.3333333333334,136.66666666666666,North west,11.894838899570903,8.5364136
Kano,2013,776.3333333333334,146.66666666666666,North west,11.894838899570903,8.5364136
Kano,2014,777.4,150.1,North west,11.894838899570903,8.5364136
Kano,2015,763.7333333333333,135.13333333333333,North west,11.894838899570903,8.5364136
Kano,2016,769.2,135.53333333333333,North west,11.894838899570903,8.5364136
Kano,2017,788.1052631578947,138.89473684210526,North west,11.894838899570903,8.5364136
Kano,2018,1000.0,169.49586776859505,North west,11.894838899570903,8.5364136
Kano,2019,461.02272727272725,135.20454545454547,North west,11.894838899570903,8.5364136
Kano,2020,705.5681818181819,134.5681818181818,North west,11.894838899570903,8.5364136
Yobe,2011,555.0,126.66666666666667,North east,12.123324199591742,11.506593699999998
Yobe,2012,485.3333333333333,114.0,North east,12.123324199591742,11.506593699999998
Yobe,2013,575.6666666666666,131.66666666666666,North east,12.123324199591742,11.506593699999998
Yobe,2014,693.2222222222222,136.77777777777777,North east,12.123324199591742,11.506593699999998
Yobe,2015,698.8,124.3,North east,12.123324199591742,11.506593699999998
Yobe,2016,721.0,126.72727272727273,North east,12.123324199591742,11.506593699999998
Yobe,2017,740.8181818181819,128.36363636363637,North east,12.123324199591742,11.506593699999998
Yobe,2018,759.0,208.7663551401869,North east,12.123324199591742,11.506593699999998
Yobe,2019,444.05882352941177,125.58823529411765,North east,12.123324199591742,11.506593699999998
Yobe,2020,640.4705882352941,114.17647058823529,North east,12.123324199591742,11.506593699999998
Gombe,2011,702.0,155.0,North east,10.383009999458512,11.206567
Gombe,2012,724.0,158.0,North east,10.383009999458512,11.206567
Gombe,2013,782.0,174.66666666666666,North east,10.383009999458512,11.206567
Gombe,2014,910.3333333333334,178.55555555555554,North east,10.383009999458512,11.206567
Gombe,2015,897.2727272727273,170.72727272727272,North east,10.383009999458512,11.206567
Gombe,2016,884.0,171.27272727272728,North east,10.383009999458512,11.206567
Gombe,2017,915.8181818181819,172.0,North east,10.383009999458512,11.206567
Gombe,2018,314.0,241.02857142857144,North east,10.383009999458512,11.206567
Gombe,2019,652.7272727272727,168.0909090909091,North east,10.383009999458512,11.206567
Gombe,2020,876.9090909090909,161.63636363636363,North east,10.383009999458512,11.206567
Abuja,2011,1391.6666666666667,218.33333333333334,South west,8.831122799397733,7.172467300000001
Abuja,2012,1157.0,198.66666666666666,South west,8.831122799397733,7.172467300000001
Abuja,2013,1185.0,208.66666666666666,South west,8.831122799397733,7.172467300000001
Abuja,2014,1164.9,207.1,South west,8.831122799397733,7.172467300000001
Abuja,2015,1107.2941176470588,197.2941176470588,South west,8.831122799397733,7.172467300000001
Abuja,2016,1088.764705882353,197.76470588235293,South west,8.831122799397733,7.172467300000001
Abuja,2017,1136.1176470588234,200.0,South west,8.831122799397733,7.172467300000001
Abuja,2019,943.3333333333334,198.16666666666666,South west,8.831122799397733,7.172467300000001
Abuja,2020,1184.1666666666667,198.0,South west,8.831122799397733,7.172467300000001
Jigawa,2011,908.6666666666666,182.66666666666666,North west,12.325236199610885,9.5103296
Jigawa,2012,621.6666666666666,130.0,North west,12.325236199610885,9.5103296
Jigawa,2013,670.3333333333334,137.66666666666666,North west,12.325236199610885,9.5103296
Jigawa,2014,773.5,143.66666666666666,North west,12.325236199610885,9.5103296
Jigawa,2015,744.7058823529412,127.76470588235294,North west,12.325236199610885,9.5103296
Jigawa,2016,760.5882352941177,128.0,North west,12.325236199610885,9.5103296
Jigawa,2017,780.3529411764706,129.7058823529412,North west,12.325236199610885,9.5103296
Jigawa,2018,758.0,266.0076923076923,North west,12.325236199610885,9.5103296
Jigawa,2019,434.3703703703704,125.37037037037037,North west,12.325236199610885,9.5103296
Jigawa,2020,667.7407407407408,123.18518518518519,North west,12.325236199610885,9.5103296
Imo,2011,1861.5,229.5,South east,5.585945599467946,7.0669651
Imo,2012,2089.5,237.0,South east,5.585945599467946,7.0669651
Imo,2013,1918.5,252.5,South east,5.585945599467946,7.0669651
Imo,2014,2148.6153846153848,267.9230769230769,South east,5.585945599467946,7.0669651
Imo,2015,2075.6,267.0,South east,5.585945599467946,7.0669651
Imo,2016,2116.4444444444443,267.44444444444446,South east,5.585945599467946,7.0669651
Imo,2017,2274.7083333333335,266.0416666666667,South east,5.585945599467946,7.0669651
Imo,2018,2345.0,169.54929577464787,South east,5.585945599467946,7.0669651
Imo,2019,2140.296296296296,264.25925925925924,South east,5.585945599467946,7.0669651
Imo,2020,2020.2592592592594,271.14814814814815,South east,5.585945599467946,7.0669651
Kebbi,2011,2537.6666666666665,268.6666666666667,North west,11.416757399530336,4.107454499999999
Kebbi,2012,683.5,135.0,North west,11.416757399530336,4.107454499999999
Kebbi,2013,752.5,142.5,North west,11.416757399530336,4.107454499999999
Kebbi,2014,778.3636363636364,150.54545454545453,North west,11.416757399530336,4.107454499999999
Kebbi,2015,770.9375,138.125,North west,11.416757399530336,4.107454499999999
Kebbi,2016,778.9375,138.375,North west,11.416757399530336,4.107454499999999
Kebbi,2017,801.25,140.0625,North west,11.416757399530336,4.107454499999999
Kebbi,2018,758.0,126.69182389937107,North west,11.416757399530336,4.107454499999999
Kebbi,2019,470.6190476190476,135.66666666666666,North west,11.416757399530336,4.107454499999999
Kebbi,2020,723.5238095238095,138.38095238095238,North west,11.416757399530336,4.107454499999999
Nasarawa,2018,1228.0,250.35087719298247,North central,8.438786799392046,8.238284899999998
